"Nazov produktu","typ produktu","popis parametru 1","parameter 1","popis parametru 2","parameter 2","popis parametru 3","parameter 3","Kategoria","Podkategoria","Cena bez dph","Cena s dph","nazov obrazka",
"Vŕtacie kladivo 2,9 kg - SDS-Plus","Makita HR2470","Sila jednotlivého príklepu","2","4 J","Max. vŕtací výkon (betón / kov / drevo)","13/24/32 mm","Príkon","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","9","11.07","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HR2470.webp"
"Vŕtacie kladivo AKU 3,2 kg - SDS Plus","Makita DHR241RTJ","Sila jednotlivého príklepu (EPTA)","1","9 J","Max. vŕtací výkon (betón / kov / drevo)","20 / 13 / 26 mm","Batéria","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","15","18.45","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita DHR241RTJ.webp"
"Búracie kladivo 5,6 kg - SDS-Max","Makita HM0871C","Sila jednotlivého príklepu","8","1 J","Antivibračná technológia","AVT","Príkon","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","15","18.45","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HM0871C.webp"
"Búracie kladivo 9,7 kg - SDS-Max","Makita HM1203C","Sila jednotlivého príklepu","19","1 J","Plynulý rozbeh pre precíznu prácu","Príkon","1.510 W","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","20","24.6","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HM1203C.webp"
,"Príklepová  vŕtačka 2 kg","Makita HP1631K","Max. vŕtací výkon - oceľ|betón|drevo","13/16/30 mm","Upínací rozsah","1","5 - 13 mm","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","9","11.07","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HP1631K.webp"
"Vŕtacie kladivo 6,2 kg - SDS-Max","Makita HR4003C","Sila jednotlivého príklepu","8","3 J","Max. vŕtací výkon (vrták","korunka)","40/105 mm","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","20","24.6","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HR4003C.webp"
"Vŕtacie kladivo 10,9 kg - SDS-Max","Makita  HR5202C","Sila jednotlivého príklepu","20 J","Max. vŕtací výkon (vrták","korunka)","52/160 mm","Príkon","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","20","24.6","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HR5202C.webp"
"Búracie kladivo  14,5 kg","HILTI TE 2000-AVR","Sila jednotlivého príklepu","35 J","Výkonné a mimoriadne ľahké búracie kladivo TE-S","Napájanie","230 V",,"Malé náradie","vŕtacie, búracie kladivá a vŕtačky","23","28.29","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/HILTI TE-2000- AVR.webp"
"Búracie kladivo 15,3 kg","Makita HM1307C","Sila jednotlivého príklepu","25","5 J","Vysoký výkon pri nízkej hmotnosti","Príkon","1.510 W","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","23","28.29","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HM1307C.webp"
"Búracie kladivo 29,4 kg","Makita HM1802","Sila jednotlivého príklepu","71","4 J","Rozbíjanie cestných povrchov","základov alebo búracie práce","Príkon","Malé náradie","vŕtacie, búracie kladivá a vŕtačky","31","38.13","/pictures/Malé náradie/Búracie","vŕtacie kladivá a vŕtačky/Makita HM1802.webp"
,"Uhlová brúska 125mm","Makita GA5030R","Priemer kotúča","125 mm","Hmotnosť","1","8 kg","Malé náradie","uhlové, vibračné a pásové brúsky.","7","8.61","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/Makita GA5030R.webp"
,"Uhlová brúska 230mm","Makita GA9050R","Priemer kotúča","230 mm","Hmotnosť","4","8 kg","Malé náradie","uhlové, vibračné a pásové brúsky.","8","9.84","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/Makita GA9050R.webp"
,"Uhlová brúska AKU 125mm","DeWalt DCG405P2","Priemer kotúča","125 mm","Batéria","18V 2x5","0Ah","Malé náradie","uhlové, vibračné a pásové brúsky.","13","15.99","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/DeWALT DCG405P2.webp"
,"Uhlová brúska na betón 125mm","DeWalt DWE4257KT","Priemer kotúča","125 mm","Regulácia otáčok|odsávanie prachu","áno / áno","Príkon","Malé náradie","uhlové, vibračné a pásové brúsky.","18","22.14","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/DeWalt DWE4257.webp"
,"Vibračná brúska 1","6kg","Makita BO3710","Rozmer brúsneho papiera","93 x 228 mm","Excentricita","2 mm","Malé náradie","uhlové, vibračné a pásové brúsky.","7","8.61","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/Makita BO3710.webp"
,"Excentrická brúska 1","4 kg","Makita BO5041","Priemer základnej dosky","123 mm","Excentricita","2","Malé náradie","uhlové, vibračné a pásové brúsky.","10","12.3","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/Makita  BO5041.webp"
"Pásová brúska 2,7 kg","Makita 9911","Rozmer brúsneho pásu","76x457 mm","Príkon","950 W",,,"Malé náradie","uhlové, vibračné a pásové brúsky.","7","8.61","/pictures/Malé náradie/Uhlové","vibračné a pásové brúsky/Makita 9911.webp"
,"Kotúčová píla 184mm AKU","DeWALT DCS570P2","Maximálna hĺbka rezu pri 90º/45°","64/48 mm","Hmotnosť","3","6 kg","Malé náradie","ručné píly a rezačky.","15","18.45","/pictures/Malé náradie/Ručne píly a rezačky/DeWALT DCS570P2.webp","https://www.dewalt.sk/vyrobku/dcs570p2-qw/bezuhlikova-kotucova-pila-18-v-xr-184-mm-2-x-5-ah"
,"Kotúčová píla 235mm","Makita 5903R","Maximálna hĺbka rezu pri 90º/45°","85/64 mm","Hmotnosť","7","2 kg","Malé náradie","ručné píly a rezačky.","10","12.3","/pictures/Malé náradie/Ručne píly a rezačky/Makita 5903R.webp","https://makita.sk/produkty/105_pilenie/rucne-okruzne-pily/209_5903r-okruzna-pila"
,"Chvostová píla 3","3 kg","Makita JR3051TK","Dĺžka pílového listu","450 mm","Max. priemer drevo/rúrka  0 °","255/130 mm","Malé náradie","ručné píly a rezačky.","10","12.3","/pictures/Malé náradie/Ručne píly a rezačky/Makita JR3051TK.webp","https://makita.sk/produkty/109_chvostove-pily/3025_chvostova-pila"
,"Priamočiara píla","Makita 4350FCTJ","Max. rezný výkon drevo/oceľ/hliník","135/10/10 mm","Hmotnosť","2","6 kg","Malé náradie","ručné píly a rezačky.","8","9.84","/pictures/Malé náradie/Ručne píly a rezačky/Makita 4350FCTJ.webp","https://makita.sk/produkty/108_pilenie/priamociare-pily/1078_4350fctj-priamociara-pila"
,"Pokosová píla 260mm","Makita LS1018LN","Maximálna hĺbka rezu pri 90º/45°","305/215 mm","Hmotnosť","19","9 kg","Malé náradie","ručné píly a rezačky.","15","18.45","/pictures/Malé náradie/Ručne píly a rezačky/Makita LS1018LN.webp","https://makita.sk/produkty/102_pilenie/kapovacie-a-pokosove-pily/2903_ls1018ln-pokosova-a-skracovacia-pila"
